# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  114       4.780421208333e-10       1.311794317276e-13      -4.449522895103e-12       3.610801662951e-16       5.012917155322e-12       1.080120394657e-12      -6.100894450483e-15 
  115       4.832072825847e-10       1.330516360435e-13      -4.543718074494e-12       3.676279750253e-16       4.887944912429e-12       1.062656527867e-12      -6.044215945135e-15 
  116       4.883928695139e-10       1.348900232767e-13      -4.637382068454e-12       3.742447950147e-16       4.767102508676e-12       1.045613596149e-12      -5.987746090484e-15 
  117       4.935981935730e-10       1.366929412939e-13      -4.730444424736e-12       3.809313551698e-16       4.650265304631e-12       1.028984460430e-12      -5.931508624779e-15 
  118       4.988224607828e-10       1.384587413798e-13      -4.822834075678e-12       3.876884104013e-16       4.537278116425e-12       1.012758574333e-12      -5.875520755176e-15 
  119       5.040647678731e-10       1.401857790387e-13      -4.914479358340e-12       3.945167420538e-16       4.427954366863e-12       9.969218834650e-13      -5.819792926226e-15 
  120       5.093240989225e-10       1.418724147953e-13      -5.005308034649e-12       4.014171583341e-16       4.322075236520e-12       9.814567247001e-13      -5.764328588361e-15 
  121       5.145993219992e-10       1.435170149957e-13      -5.095247311535e-12       4.083904947404e-16       4.219388814857e-12       9.663417254710e-13      -5.709123966380e-15 
  122       5.198891858002e-10       1.451179526088e-13      -5.184223861071e-12       4.154376144912e-16       4.119609251318e-12       9.515517030543e-13      -5.654167827936e-15 
  123       5.251924773728e-10       1.466736547109e-13      -5.272164571245e-12       4.225593488368e-16       4.022477446499e-12       9.370635467139e-13      -5.599442555248e-15 
  124       5.305085229482e-10       1.481827494090e-13      -5.358998853041e-12       4.297563093174e-16       3.927952828624e-12       9.228748438123e-13      -5.544927992764e-15 
