# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.689727048422e-02       8.130603840636e+03 
       4.715242995001e-02       8.075183843261e+03 
       4.741164118855e-02       8.019807987185e+03 
       4.767511040433e-02       7.964463803693e+03 
       4.794305874337e-02       7.909131092334e+03 
       4.821572373710e-02       7.853843665951e+03 
       4.849336092154e-02       7.798534812662e+03 
       4.877624565771e-02       7.743227047911e+03 
       4.906467518305e-02       7.687922815329e+03 
       4.935897092966e-02       7.632554644693e+03 
       4.965948115084e-02       7.577161918005e+03 
       4.996658390560e-02       7.521701103616e+03 
       5.028069045992e-02       7.466132817725e+03 
       5.060224917470e-02       7.410488097108e+03 
       5.093174996444e-02       7.354711661742e+03 
       5.126972942734e-02       7.298826034199e+03 
       5.161677676840e-02       7.242761851876e+03 
       5.197354066272e-02       7.186492243175e+03 
       5.234073723810e-02       7.130025534204e+03 
       5.271915939561e-02       7.073314423734e+03 
       5.310968773643e-02       7.016309114537e+03 
       5.351330342555e-02       6.959004759420e+03 
       5.393110340124e-02       6.901340260107e+03 
       5.436431843882e-02       6.843266582949e+03 
       5.481433470280e-02       6.784749878008e+03 
       5.528271958222e-02       6.725722598951e+03 
       5.577125280816e-02       6.666104144968e+03 
       5.628196411276e-02       6.605858344017e+03 
       5.681717902078e-02       6.544846397378e+03 
       5.737957478409e-02       6.483012462608e+03 
       5.797224899611e-02       6.420187435485e+03 
       5.859880407127e-02       6.356247149400e+03 
       5.926345154941e-02       6.291000046187e+03 
       5.997114105768e-02       6.224238887293e+03 
       6.072771963492e-02       6.155660987453e+03 
       6.154012774431e-02       6.084935682639e+03 
       6.241663811063e-02       6.011628840269e+03 
       6.336714136445e-02       5.935191332058e+03 
       6.440347608749e-02       5.854907753365e+03 
       6.553978602143e-02       5.769870257992e+03 
       6.679285666541e-02       5.678881507843e+03 
       6.818232624823e-02       5.580349556613e+03 
       6.973056976171e-02       5.472143441360e+03 
       7.146191826425e-02       5.351481180828e+03 
       7.340074503186e-02       5.214875014430e+03 
       7.556798329767e-02       5.058332540971e+03 
       7.797613892407e-02       4.877947693872e+03 
       8.062404937481e-02       4.671038293226e+03 
       8.349399910996e-02       4.437593579881e+03 
       8.655370016841e-02       4.181323390166e+03 
       8.976300012808e-02       3.909649469900e+03 
       9.308198903495e-02       3.632708711952e+03 
       9.647679233666e-02       3.361680527630e+03 
       9.992173545888e-02       3.106793741378e+03 
       1.033988329734e-01       2.875733659371e+03 
       1.068961338526e-01       2.673305144000e+03 
       1.104059643962e-01       2.501621700333e+03 
       1.139235031877e-01       2.360190213380e+03 
       1.174457615784e-01       2.246382058615e+03 
       1.209709023028e-01       2.156098407642e+03 
       1.244978015568e-01       2.084350978211e+03 
       1.280257739702e-01       2.025693221351e+03 
       1.315544022444e-01       1.974620661905e+03 
       1.350834324930e-01       1.926075381803e+03 
       1.386127102665e-01       1.875882541149e+03 
       1.421421415626e-01       1.821014891391e+03 
       1.456716691063e-01       1.759738797352e+03 
       1.492012579361e-01       1.691685868785e+03 
       1.527308866482e-01       1.617731422593e+03 
       1.562605420820e-01       1.539711496943e+03 
       1.597902160919e-01       1.460029796763e+03 
       1.633199035886e-01       1.381275623171e+03 
       1.668496013484e-01       1.305933289130e+03 
       1.703793072904e-01       1.236081377652e+03 
       1.739090200366e-01       1.173201509320e+03 
       1.774387386445e-01       1.118124278423e+03 
       1.809684624436e-01       1.071069454284e+03 
       1.844981909359e-01       1.031683050391e+03 
       1.880279237345e-01       9.991269133066e+02 
       1.915576605263e-01       9.722157798176e+02 
       1.950874010479e-01       9.495617109975e+02 
       1.986171450719e-01       9.297165585621e+02 
       2.021468923967e-01       9.114659674915e+02 
       2.056766428409e-01       8.932689783709e+02 
       2.092063962393e-01       8.740729864903e+02 
       2.127361524399e-01       8.531584402633e+02 
       2.162659113021e-01       8.301882507017e+02 
       2.197956726953e-01       8.052062971133e+02 
       2.233254364977e-01       7.785844127360e+02 
       2.268552025955e-01       7.509183937713e+02 
       2.303849708821e-01       7.229119754467e+02 
       2.339147412574e-01       6.952714652482e+02 
       2.374445136276e-01       6.686409119005e+02 
       2.409742879042e-01       6.435545986497e+02 
       2.445040640041e-01       6.204096800950e+02 
       2.480338418488e-01       5.994581189435e+02 
       2.515636213643e-01       5.808055761063e+02 
       2.550934024809e-01       5.644069256089e+02 
       2.586231851325e-01       5.500696223584e+02 
       2.621529692566e-01       5.374801210312e+02 
       2.656827547943e-01       5.262448159056e+02 
       2.692125416895e-01       5.159354163261e+02 
       2.727423298892e-01       5.061346929619e+02 
       2.762721193431e-01       4.964781486483e+02 
       2.798019100034e-01       4.866831760386e+02 
       2.833317018247e-01       4.765524877006e+02 
       2.868614947640e-01       4.659775881596e+02 
       2.903912887802e-01       4.549338376560e+02 
       2.939210838342e-01       4.434749828085e+02 
       2.974508798890e-01       4.317242822940e+02 
       3.009806769091e-01       4.198587207545e+02 
       3.045104748607e-01       4.080834845793e+02 
       3.080402737117e-01       3.966095023697e+02 
       3.115700734312e-01       3.856218141016e+02 
       3.150998739900e-01       3.752584551477e+02 
       3.186296753600e-01       3.656010118214e+02 
       3.221594775144e-01       3.566768898675e+02 
       3.256892804275e-01       3.484660342922e+02 
       3.292190840748e-01       3.409148884323e+02 
       3.327488884329e-01       3.339445542448e+02 
       3.362786934792e-01       3.274582963351e+02 
       3.398084991921e-01       3.213493188080e+02 
       3.433383055511e-01       3.155026505497e+02 
       3.468681125362e-01       3.098071967529e+02 
       3.503979201285e-01       3.041650304646e+02 
       3.539277283098e-01       2.985023492299e+02 
       3.574575370623e-01       2.927767663012e+02 
       3.609873463694e-01       2.869756931969e+02 
       3.645171562149e-01       2.811144109802e+02 
       3.680469665831e-01       2.752256428582e+02 
       3.715767774592e-01       2.693541939616e+02 
       3.751065888287e-01       2.635457754828e+02 
       3.786364006777e-01       2.578485287496e+02 
       3.821662129929e-01       2.523075015916e+02 
       3.856960257614e-01       2.469632062291e+02 
       3.892258389709e-01       2.418498513144e+02 
       3.927556526094e-01       2.369871283718e+02 
       3.962854666654e-01       2.323817485083e+02 
       3.998152811278e-01       2.280237685148e+02 
       4.033450959858e-01       2.238883828167e+02 
       4.068749112292e-01       2.199433113113e+02 
       4.104047268479e-01       2.161525342545e+02 
       4.139345428324e-01       2.124832832701e+02 
       4.174643591732e-01       2.089081671158e+02 
       4.209941758614e-01       2.054037079889e+02 
       4.245239928882e-01       2.019517967142e+02 
       4.280538102454e-01       1.985375656055e+02 
       4.315836279247e-01       1.951505207943e+02 
       4.351134459182e-01       1.917843712773e+02 
       4.386432642184e-01       1.884408180877e+02 
       4.421730828179e-01       1.851288370041e+02 
       4.457029017094e-01       1.818594996288e+02 
       4.492327208863e-01       1.786484346162e+02 
       4.527625403416e-01       1.755080667129e+02 
       4.562923600690e-01       1.724480575367e+02 
       4.598221800621e-01       1.694728295272e+02 
       4.633520003148e-01       1.665868171183e+02 
       4.668818208213e-01       1.637911117416e+02 
       4.704116415758e-01       1.610854478783e+02 
       4.739414625728e-01       1.584714376840e+02 
       4.774712838068e-01       1.559455914325e+02 
       4.810011052726e-01       1.535031355991e+02 
       4.845309269651e-01       1.511348455060e+02 
       4.880607488794e-01       1.488285439820e+02 
       4.915905710108e-01       1.465743807751e+02 
       4.951203933544e-01       1.443622551683e+02 
       4.986502159058e-01       1.421864038671e+02 
       5.021800386607e-01       1.400428166125e+02 
       5.057098616147e-01       1.379303586838e+02 
       5.092396847637e-01       1.358479277685e+02 
       5.127695081036e-01       1.337940664478e+02 
       5.162993316306e-01       1.317686264337e+02 
       5.198291553407e-01       1.297725302950e+02 
       5.233589792303e-01       1.278081300890e+02 
       5.268888032958e-01       1.258809111930e+02 
       5.304186275335e-01       1.239949772011e+02 
       5.339484519402e-01       1.221545862903e+02 
       5.374782765125e-01       1.203613567877e+02 
       5.410081012470e-01       1.186152737235e+02 
       5.445379261407e-01       1.169132126822e+02 
       5.480677511905e-01       1.152527883348e+02 
       5.515975763933e-01       1.136311359300e+02 
       5.551274017462e-01       1.120462426510e+02 
       5.586572272464e-01       1.104963427109e+02 
       5.621870528911e-01       1.089796953064e+02 
       5.657168786776e-01       1.074935369743e+02 
       5.692467046032e-01       1.060342719115e+02 
       5.727765306654e-01       1.045989292534e+02 
       5.763063568616e-01       1.031851515396e+02 
       6.013751784838e-01       9.378278864473e+01 
       6.289467001742e-01       8.477694866637e+01 
       6.596979687872e-01       7.614281084075e+01 
       6.946296599460e-01       6.771189118324e+01 
       7.352976292708e-01       5.947824952791e+01 
       7.842770710978e-01       5.129358869619e+01 
       8.461692310324e-01       4.304306736399e+01 
       9.299471756978e-01       3.455613833418e+01 
       1.054370889753e+00       2.573103316945e+01 
       1.255156726148e+00       1.700608047016e+01 
       1.562130009674e+00       1.003832701733e+01 
       1.965639893852e+00       5.724291127745e+00 
       2.474583044632e+00       3.235785145224e+00 
       3.115315456245e+00       1.816544822357e+00 
       3.921949793616e+00       1.013412340259e+00 
       4.937442258964e+00       5.621251733909e-01 
