# l   Dl_TT   Dl_TE   Dl_EE
8.500000000000000000e+01 2.822412975259433097e+02 -1.777143592967046715e+00 7.441808826683976585e-02
8.600000000000000000e+01 2.856977550705512385e+02 -1.855565557923705367e+00 7.647942145135076808e-02
8.700000000000000000e+01 2.891862068299918178e+02 -1.934891356110744809e+00 7.854495365282350428e-02
8.800000000000000000e+01 2.927067003163014647e+02 -2.015065688144246359e+00 8.061287348448872847e-02
8.900000000000000000e+01 2.962590357076325063e+02 -2.096031601175656345e+00 8.268132612902912015e-02
9.000000000000000000e+01 2.998427543706025062e+02 -2.177730499023597499e+00 8.474841346566072686e-02
9.100000000000000000e+01 3.034571273826451829e+02 -2.260102152305678125e+00 8.681219419721464270e-02
9.200000000000000000e+01 3.071011440543592244e+02 -2.343084708570305263e+00 8.887068397721833990e-02
9.300000000000000000e+01 3.107738355491183597e+02 -2.426615242992356425e+00 9.092188718338070630e-02
9.400000000000000000e+01 3.144753263483385695e+02 -2.510631483196818614e+00 9.296389742842627035e-02
9.500000000000000000e+01 3.182059204414704254e+02 -2.595070363788521295e+00 9.499481247139809903e-02
9.600000000000000000e+01 3.219657735337090116e+02 -2.679867526219360307e+00 9.701270447215640247e-02
9.700000000000000000e+01 3.257548861681688663e+02 -2.764957336340346572e+00 9.901562055286497466e-02
9.800000000000000000e+01 3.295730968480597198e+02 -2.850272901953641913e+00 1.010015833594778006e-01
9.900000000000000000e+01 3.334200751588608682e+02 -2.935746090364606431e+00 1.029685916232254556e-01
1.000000000000000000e+02 3.372953148904965701e+02 -3.021307545933836991e+00 1.049146207221016841e-01
1.010000000000000000e+02 3.411981271595109888e+02 -3.106886707629213262e+00 1.068376232423499800e-01
1.020000000000000000e+02 3.451276335312434753e+02 -3.192411826577935763e+00 1.087355295399498045e-01
1.030000000000000000e+02 3.490827591420034537e+02 -3.277809983618572787e+00 1.106062483021035131e-01
1.040000000000000000e+02 3.530624531865715312e+02 -3.363007877455254313e+00 1.124477207234481219e-01
1.050000000000000000e+02 3.570663991156334305e+02 -3.447934272570354786e+00 1.142580901601378263e-01
1.060000000000000000e+02 3.610943880000525610e+02 -3.532517916250557111e+00 1.160355565470154449e-01
1.070000000000000000e+02 3.651460954061336110e+02 -3.616686823220027325e+00 1.177783259661924348e-01
1.080000000000000000e+02 3.692210770163176790e+02 -3.700368301660613479e+00 1.194846117977080846e-01
1.090000000000000000e+02 3.733187642498778018e+02 -3.783488979232052074e+00 1.211526358701890821e-01
1.100000000000000000e+02 3.774384598836131772e+02 -3.865974829092150511e+00 1.227806296115085127e-01
1.110000000000000000e+02 3.815793336725453173e+02 -3.947751195917000633e+00 1.243668351994455246e-01
1.120000000000000000e+02 3.857404179706125547e+02 -4.028742821921165174e+00 1.259095067123443545e-01
1.130000000000000000e+02 3.899206033513652301e+02 -4.108873872877880196e+00 1.274069112797737435e-01
1.140000000000000000e+02 3.941186342286612216e+02 -4.188067964139256638e+00 1.288573302331864345e-01
1.150000000000000000e+02 3.983331044773609051e+02 -4.266248186656472541e+00 1.302590602565781575e-01
1.160000000000000000e+02 4.025626525494843690e+02 -4.343338061943219586e+00 1.316104622909662070e-01
1.170000000000000000e+02 4.068065830979097086e+02 -4.419264483055759918e+00 1.329101125332391997e-01
1.180000000000000000e+02 4.110643130585068548e+02 -4.493955181707110391e+00 1.341566720421452918e-01
1.190000000000000000e+02 4.153351763302150061e+02 -4.567337865179315060e+00 1.353488421829312782e-01
1.200000000000000000e+02 4.196184211596232103e+02 -4.639340250557111744e+00 1.364853662002281920e-01
1.210000000000000000e+02 4.239132075255517407e+02 -4.709890098961591498e+00 1.375650307909372649e-01
1.220000000000000000e+02 4.282186045236325640e+02 -4.778915249783878494e+00 1.385866676771158323e-01
1.230000000000000000e+02 4.325335877508895237e+02 -4.846343654918777943e+00 1.395491551788630158e-01
1.240000000000000000e+02 4.368570366903202853e+02 -4.912103412998460428e+00 1.404514197872057113e-01
1.250000000000000000e+02 4.411877320954760648e+02 -4.976122803626116919e+00 1.412924377369844386e-01
1.260000000000000000e+02 4.455243533750424945e+02 -5.038330321609618245e+00 1.420712365797387744e-01
1.270000000000000000e+02 4.498654759774213403e+02 -5.098654711195205635e+00 1.427868967565938396e-01
1.280000000000000000e+02 4.542095687753098332e+02 -5.157025000301131534e+00 1.434385531711456496e-01
1.290000000000000000e+02 4.585551436506587493e+02 -5.213371284163407005e+00 1.440254345606138686e-01
1.300000000000000000e+02 4.629012283579474456e+02 -5.267627100756016034e+00 1.445469831516852377e-01
1.310000000000000000e+02 4.672469408334674768e+02 -5.319727381864581162e+00 1.450027511645855527e-01
1.320000000000000000e+02 4.715913401335541266e+02 -5.369607766239941959e+00 1.453923660166853427e-01
1.330000000000000000e+02 4.759334249082576775e+02 -5.417204639194340920e+00 1.457155321658560321e-01
1.340000000000000000e+02 4.802721318750143951e+02 -5.462455172197607567e+00 1.459720329538267136e-01
1.350000000000000000e+02 4.846063342923175128e+02 -5.505297362473336342e+00 1.461617324495401715e-01
1.360000000000000000e+02 4.889348404333886151e+02 -5.545670072595085820e+00 1.462845772925096266e-01
1.370000000000000000e+02 4.932563920598485652e+02 -5.583513070082550378e+00 1.463405985361752037e-01
1.380000000000000000e+02 4.975696628953886602e+02 -5.618767066997760296e+00 1.463299134912601218e-01
1.390000000000000000e+02 5.018732570994418438e+02 -5.651373759541251651e+00 1.462527275691272999e-01
1.400000000000000000e+02 5.061657077408532928e+02 -5.681275867648258426e+00 1.461093361251357414e-01
1.410000000000000000e+02 5.104454752715524251e+02 -5.708417174584905496e+00 1.459001263019970851e-01
1.420000000000000000e+02 5.147109460002230890e+02 -5.732742566544380303e+00 1.456255788731319056e-01
1.430000000000000000e+02 5.189604305659751162e+02 -5.754198072243128514e+00 1.452862700860261813e-01
1.440000000000000000e+02 5.231922975433195688e+02 -5.772731416869351762e+00 1.448828759497038932e-01
1.450000000000000000e+02 5.274053923243393456e+02 -5.788293661886401154e+00 1.444161816820001276e-01
1.460000000000000000e+02 5.315986568234592369e+02 -5.800837802915195240e+00 1.438870767021351860e-01
1.470000000000000000e+02 5.357709973112451962e+02 -5.810318312073878388e+00 1.432965541111911878e-01
1.480000000000000000e+02 5.399212836646926235e+02 -5.816691180530069616e+00 1.426457125495150802e-01
1.490000000000000000e+02 5.440483486175143071e+02 -5.819913961053087448e+00 1.419357580541219799e-01
1.500000000000000000e+02 5.481509870104281390e+02 -5.819945810566184541e+00 1.411680059160979606e-01
1.510000000000000000e+02 5.522279550414440337e+02 -5.816747532698782308e+00 1.403438825380033950e-01
1.520000000000000000e+02 5.562779695161536893e+02 -5.810281620338705544e+00 1.394649272912759086e-01
1.530000000000000000e+02 5.602997070980161425e+02 -5.800512298184410831e+00 1.385327943736334444e-01
1.540000000000000000e+02 5.642918035586473025e+02 -5.787405565297223831e+00 1.375492546664773552e-01
1.550000000000000000e+02 5.682528530281064150e+02 -5.770929237653571242e+00 1.365161975922956072e-01
1.560000000000000000e+02 5.721814072451846869e+02 -5.751052990697211875e+00 1.354356329720656504e-01
1.570000000000000000e+02 5.760759748076934557e+02 -5.727748401891476604e+00 1.343096928826577052e-01
1.580000000000000000e+02 5.799350204227500853e+02 -5.700988993271489669e+00 1.331406335142377717e-01
1.590000000000000000e+02 5.837569641570684098e+02 -5.670750273996412183e+00 1.319308370276706666e-01
1.600000000000000000e+02 5.875401806872441739e+02 -5.637009782901674981e+00 1.306828134119230322e-01
1.610000000000000000e+02 5.912831110335275753e+02 -5.599746858751986522e+00 1.293991353652321763e-01
1.620000000000000000e+02 5.949846104390422852e+02 -5.558941838835120386e+00 1.280822325677813955e-01
1.630000000000000000e+02 5.986436299648547674e+02 -5.514576870491656457e+00 1.267345826810994669e-01
1.640000000000000000e+02 6.022591065430444814e+02 -5.466636218011053927e+00 1.253587782249504790e-01
1.650000000000000000e+02 6.058299627445153419e+02 -5.415106303931080944e+00 1.239575281265877932e-01
1.660000000000000000e+02 6.093551065468051320e+02 -5.359975750337219402e+00 1.225336592700078803e-01
1.670000000000000000e+02 6.128334311018957123e+02 -5.301235420162092815e+00 1.210901180452041564e-01
1.680000000000000000e+02 6.162638145040233439e+02 -5.238878458484886202e+00 1.196299718974209308e-01
1.690000000000000000e+02 6.196451195574885560e+02 -5.172900333830755315e+00 1.181564108764070614e-01
1.700000000000000000e+02 6.229761935444670371e+02 -5.103298879470261618e+00 1.166727491856700966e-01
1.710000000000000000e+02 6.262558679928184802e+02 -5.030074334718769968e+00 1.151824267317298478e-01
1.720000000000000000e+02 6.294829584438980419e+02 -4.953229386235886267e+00 1.136890106733724898e-01
1.730000000000000000e+02 6.326562642203655287e+02 -4.872769209324864903e+00 1.121961969709041190e-01
1.740000000000000000e+02 6.357745681939958331e+02 -4.788701509232032194e+00 1.107078119354049789e-01
1.750000000000000000e+02 6.388366365534899387e+02 -4.701036562446205380e+00 1.092278137779830322e-01
1.760000000000000000e+02 6.418412185722830827e+02 -4.609787257998104515e+00 1.077602941590278945e-01
1.770000000000000000e+02 6.447870463763572388e+02 -4.514969138759785672e+00 1.063094797374647960e-01
1.780000000000000000e+02 6.476728347120493936e+02 -4.416600442744041288e+00 1.048797337200082086e-01
1.790000000000000000e+02 6.504972807138624376e+02 -4.314702144403833373e+00 1.034755574104159193e-01
1.800000000000000000e+02 6.532591504181461914e+02 -4.209296369723113607e+00 1.021014161717800767e-01
1.810000000000000000e+02 6.559575464792637831e+02 -4.100401414338588957e+00 1.007611986071627885e-01
1.820000000000000000e+02 6.585916613373682367e+02 -3.988036407803762895e+00 9.945871726518248912e-02
1.830000000000000000e+02 6.611606924715598552e+02 -3.872222939268747943e+00 9.819788125990537575e-02
1.840000000000000000e+02 6.636638424872026008e+02 -3.752985092789966171e+00 9.698269717337024143e-02
1.850000000000000000e+02 6.661003192032393372e+02 -3.630349482639850134e+00 9.581726995811309933e-02
1.860000000000000000e+02 6.684693357395077555e+02 -3.504345288616537601e+00 9.470580383969175176e-02
1.870000000000000000e+02 6.707701106040574359e+02 -3.375004291353577379e+00 9.365260321921078934e-02
1.880000000000000000e+02 6.730018677804656591e+02 -3.242360907629628475e+00 9.266207357584600735e-02
1.890000000000000000e+02 6.751638368151532177e+02 -3.106452225678158374e+00 9.173872236936937707e-02
1.900000000000000000e+02 6.772552529046997734e+02 -2.967318040497144427e+00 9.088715994267360099e-02
1.910000000000000000e+02 6.792753569831626237e+02 -2.825000889158774786e+00 9.011210042429684819e-02
1.920000000000000000e+02 6.812233958093894444e+02 -2.679546086119146242e+00 8.941836263094744830e-02
1.930000000000000000e+02 6.830986220543369427e+02 -2.531001758527966494e+00 8.881087097002871023e-02
1.940000000000000000e+02 6.849002943883853050e+02 -2.379418881538252428e+00 8.829465634216346337e-02
1.950000000000000000e+02 6.866276775686558267e+02 -2.224851313616033721e+00 8.787485704371900130e-02
1.960000000000000000e+02 6.882800425263257011e+02 -2.067355831850048009e+00 8.755671966933147032e-02
1.970000000000000000e+02 6.898566664539447402e+02 -1.906992167261446713e+00 8.734560001443089639e-02
1.980000000000000000e+02 6.913568328927514131e+02 -1.743823040113488210e+00 8.724696397776571244e-02
1.990000000000000000e+02 6.927798318199889991e+02 -1.577914195221246318e+00 8.726638846392750781e-02
2.000000000000000000e+02 6.941249597362218537e+02 -1.409334437261303030e+00 8.740956228587583310e-02
2.010000000000000000e+02 6.953915742960354009e+02 -1.238152122370845376e+00 8.768199181025768119e-02
2.020000000000000000e+02 6.965792623672691661e+02 -1.064424280239122167e+00 8.808809258525615582e-02
2.030000000000000000e+02 6.976876841588032221e+02 -8.882067821846638678e-01 8.863203449168599590e-02
2.040000000000000000e+02 6.987165200030750611e+02 -7.095578397041550911e-01 8.931803119795164725e-02
2.050000000000000000e+02 6.996654706045987950e+02 -5.285380293086292536e-01 9.015034018993346721e-02
2.060000000000000000e+02 7.005342572884854917e+02 -3.452103173596637875e-01 9.113326280087410969e-02
2.070000000000000000e+02 7.013226222489641941e+02 -1.596400849055739923e-01 9.227114424126485470e-02
2.080000000000000000e+02 7.020303287979005518e+02 2.810484748239177460e-02 9.356837362873174357e-02
2.090000000000000000e+02 7.026571616133180669e+02 2.179541948738579205e-01 9.502938401792204726e-02
2.100000000000000000e+02 7.032029269879184312e+02 4.098351831431266690e-01 9.665865243039062360e-02
2.110000000000000000e+02 7.036674530776002712e+02 6.036725241329841118e-01 9.846069988448594157e-02
2.120000000000000000e+02 7.040505901499810761e+02 7.993883908185038800e-01 1.004400914252367438e-01
2.130000000000000000e+02 7.043522108329158300e+02 9.969023924708556583e-01 1.026014361542380154e-01
2.140000000000000000e+02 7.045722103630182573e+02 1.196131549821107143e+00 1.049493872595375493e-01
2.150000000000000000e+02 7.047105068341803644e+02 1.396990270224032216e+00 1.074886420455221092e-01
2.160000000000000000e+02 7.047670414460926622e+02 1.599390322821913957e+00 1.102239419628037037e-01
2.170000000000000000e+02 7.047417787527643895e+02 1.803240813708352208e+00 1.131600726381060962e-01
2.180000000000000000e+02 7.046347069110436223e+02 2.008448161092068585e+00 1.163018639041508706e-01
2.190000000000000000e+02 7.044458379291376104e+02 2.214916070460709818e+00 1.196541898295438722e-01
2.200000000000000000e+02 7.041752079151325461e+02 2.422545509744655323e+00 1.232219687486613841e-01
2.210000000000000000e+02 7.038228773255140140e+02 2.631234684480822317e+00 1.270101632915366374e-01
2.220000000000000000e+02 7.033889312136874423e+02 2.840879012976471607e+00 1.310237804137459605e-01
2.230000000000000000e+02 7.028734794784968472e+02 3.051371101473009162e+00 1.352678714262951498e-01
2.240000000000000000e+02 7.022766692747723027e+02 3.262606567558628878e+00 1.397471502711475078e-01
2.250000000000000000e+02 7.015987226166413393e+02 3.474501977810658726e+00 1.444648210198674620e-01
