# l   Dl_TT   Dl_TE   Dl_EE
9.300000000000000000e+01 3.284585946613711940e+02 -2.859952325387006944e+00 1.013946683922819225e-01
9.400000000000000000e+01 3.324879206506151945e+02 -2.949863920172079101e+00 1.034569414194281278e-01
9.500000000000000000e+01 3.365475557447141455e+02 -3.039838876841952420e+00 1.054945713311318534e-01
9.600000000000000000e+01 3.406373758047819820e+02 -3.129795884413565599e+00 1.075053139306374750e-01
9.700000000000000000e+01 3.447570835434406149e+02 -3.219652369747716847e+00 1.094869136051605935e-01
9.800000000000000000e+01 3.489062012040063792e+02 -3.309324526052865423e+00 1.114371044833702695e-01
9.900000000000000000e+01 3.530840632396771639e+02 -3.398727341388922962e+00 1.133536115928711063e-01
1.000000000000000000e+02 3.572898089927185197e+02 -3.487774627171051911e+00 1.152341520176853040e-01
1.010000000000000000e+02 3.615223753736514141e+02 -3.576379046673463069e+00 1.170764360557349920e-01
1.020000000000000000e+02 3.657804895404378840e+02 -3.664452143533205586e+00 1.188781683763241587e-01
1.030000000000000000e+02 3.700626615776685071e+02 -3.751904370253972498e+00 1.206370491776209558e-01
1.040000000000000000e+02 3.743674387097357226e+02 -3.838646231612404591e+00 1.223508366423058658e-01
1.050000000000000000e+02 3.786942228179782433e+02 -3.924591829392899633e+00 1.240175414200386933e-01
1.060000000000000000e+02 3.830425502242044900e+02 -4.009655851863183962e+00 1.256352606969181607e-01
1.070000000000000000e+02 3.874118356251917703e+02 -4.093752541895535835e+00 1.272021210523454904e-01
1.080000000000000000e+02 3.918013676458729719e+02 -4.176795737722275526e+00 1.287162802901129777e-01
1.090000000000000000e+02 3.962103043925233692e+02 -4.258698913691223886e+00 1.301759292694924242e-01
1.100000000000000000e+02 4.006376690059469183e+02 -4.339375221021182227e+00 1.315792937363231829e-01
1.110000000000000000e+02 4.050823452146628938e+02 -4.418737528557398875e+00 1.329246361541008004e-01
1.120000000000000000e+02 4.095430728880928655e+02 -4.496698463527047274e+00 1.342102575350653804e-01
1.130000000000000000e+02 4.140184435897467665e+02 -4.573170452294688992e+00 1.354344992712897544e-01
1.140000000000000000e+02 4.185068961304099844e+02 -4.648065761117756267e+00 1.365957449657680123e-01
1.150000000000000000e+02 4.230067121213297696e+02 -4.721296536902019447e+00 1.376924222635039219e-01
1.160000000000000000e+02 4.275162145391383319e+02 -4.792775764449587861e+00 1.387230569344869713e-01
1.170000000000000000e+02 4.320344003158687087e+02 -4.862420183104743998e+00 1.396864386676016645e-01
1.180000000000000000e+02 4.365603766675034194e+02 -4.930147802900680887e+00 1.405814789664754927e-01
1.190000000000000000e+02 4.410931623410555176e+02 -4.995877068123837361e+00 1.414071629693661181e-01
1.200000000000000000e+02 4.456316849627307306e+02 -5.059526906172762573e+00 1.421625517422467344e-01
1.210000000000000000e+02 4.501747783860899972e+02 -5.121016776416956517e+00 1.428467845718917051e-01
1.220000000000000000e+02 4.547211800402112090e+02 -5.180266719055740765e+00 1.434590812589625619e-01
1.230000000000000000e+02 4.592695282778519186e+02 -5.237197403977099874e+00 1.439987444110931158e-01
1.240000000000000000e+02 4.638183597236108540e+02 -5.291730179616544127e+00 1.444651617359752893e-01
1.250000000000000000e+02 4.683661066220908538e+02 -5.343787121815957164e+00 1.448578083344448375e-01
1.260000000000000000e+02 4.729110941860597563e+02 -5.393291082682451609e+00 1.451762489935665701e-01
1.270000000000000000e+02 4.774515379446146426e+02 -5.440165739447230919e+00 1.454201404797205166e-01
1.280000000000000000e+02 4.819855410913419860e+02 -5.484335643324431686e+00 1.455892338316870371e-01
1.290000000000000000e+02 4.865112585074903109e+02 -5.525727090874514857e+00 1.456834040725024093e-01
1.300000000000000000e+02 4.910274148080293912e+02 -5.564270742392747771e+00 1.457027381596311399e-01
1.310000000000000000e+02 4.955328383790056819e+02 -5.599899384431100913e+00 1.456474610613926191e-01
1.320000000000000000e+02 5.000262983519443196e+02 -5.632547187247855192e+00 1.455179116678604334e-01
1.330000000000000000e+02 5.045065031446771400e+02 -5.662149759551997619e+00 1.453145452801465343e-01
1.340000000000000000e+02 5.089720990021700686e+02 -5.688644203247623210e+00 1.450379360996855438e-01
1.350000000000000000e+02 5.134216685373509108e+02 -5.711969168178323564e+00 1.446887797175190615e-01
1.360000000000000000e+02 5.178537292719371408e+02 -5.732064906871588761e+00 1.442678956035801097e-01
1.370000000000000000e+02 5.222667321772640889e+02 -5.748873329283200384e+00 1.437762295959773562e-01
1.380000000000000000e+02 5.266590602151117082e+02 -5.762338057541634306e+00 1.432148563902794214e-01
