# k [1/Mpc]   d_b d_idm_drmd  d_ncdm[0] 
8.033585752645440101e-03 4.663656220926102947e+02 4.665769672703525544e+02 4.665769651510194080e+02 1.010271250695477647e+02
8.169505106116624685e-03 4.801868854429532689e+02 4.804105765521120475e+02 4.804105742873954910e+02 1.022280760361395409e+02
8.305502267149322826e-03 4.941527288971006442e+02 4.943893126084022356e+02 4.943893101909493453e+02 1.034072706887946396e+02
8.441574219710961530e-03 5.082606154605658730e+02 5.085106473430481060e+02 5.085106447652655106e+02 1.045661484730168667e+02
8.577718147459802850e-03 5.225080258293505722e+02 5.227720712378092003e+02 5.227720684918632514e+02 1.057053004621461412e+02
8.713931419377820078e-03 5.368924034526372679e+02 5.371710381983841671e+02 5.371710352761948570e+02 1.068240754234018652e+02
8.850211576646964742e-03 5.514112418597968599e+02 5.517050559199191184e+02 5.517050528131603642e+02 1.079206463256670645e+02
8.986556320648170920e-03 5.660620769555587231e+02 5.663716722877746861e+02 5.663716689878676789e+02 1.089925676041931979e+02
9.122963501975552697e-03 5.808425210209132956e+02 5.811685116634089354e+02 5.811685081615182753e+02 1.100377278900667193e+02
9.259431110369609544e-03 5.957500258520047964e+02 5.960930493818513014e+02 5.960930456688895447e+02 1.110552944872867300e+02
9.395957265483418155e-03 6.107823012624851344e+02 6.111430087046067001e+02 6.111430047712242413e+02 1.120463983064864237e+02
9.532540208404717899e-03 6.259369744682172723e+02 6.263160338084536534e+02 6.263160296450341775e+02 1.130139936914947469e+02
9.669178293864809717e-03 6.412116090143116480e+02 6.416097126399338322e+02 6.416097082365988626e+02 1.139620358208013329e+02
9.805869983072144566e-03 6.566039237751699602e+02 6.570217809487863860e+02 6.570217762953884630e+02 1.148942204789635326e+02
9.942613837114840439e-03 6.721115697536904463e+02 6.725499056504514783e+02 6.725499007365698390e+02 1.158126604303169671e+02
1.007940851088186957e-02 6.877322515031138437e+02 6.881918098771316181e+02 6.881918046920708321e+02 1.167171711615740719e+02
1.021625274745767246e-02 7.034637575820665916e+02 7.039452936347012155e+02 7.039452881674915261e+02 1.176053962220621116e+02
1.035314537294934438e-02 7.193037964119224625e+02 7.198080799881805660e+02 7.198080742275676585e+02 1.184737408388722031e+02
1.049008529170953642e-02 7.352502802009197467e+02 7.357780890229187207e+02 7.357780829573690653e+02 1.193188051374147705e+02
1.062707148192171096e-02 7.513008377786039773e+02 7.518529684342773862e+02 7.518529620519722130e+02 1.201385752128710038e+02
1.076410299151759654e-02 7.674534657019011092e+02 7.680307277497280438e+02 7.680307210385609551e+02 1.209331637714742556e+02
1.090117893439946500e-02 7.837058754058500654e+02 7.843090968984438405e+02 7.843090898460144444e+02 1.217045073822493748e+02
1.103829848694248134e-02 8.000559220196546448e+02 8.006859413131868450e+02 8.006859339068066674e+02 1.224555489556757664e+02
1.117546088475455945e-02 8.165016506164298562e+02 8.171593243085118274e+02 8.171593165351964672e+02 1.231891152535675786e+02
1.131266541967331299e-02 8.330407962299052542e+02 8.337270033105742186e+02 8.337269951570402782e+02 1.239069579377931092e+02
1.144991143698145808e-02 8.496713419351297034e+02 8.503869773864505532e+02 8.503869688391164345e+02 1.246095374922963828e+02
1.158719833282374073e-02 8.663912750365211650e+02 8.671372482019673953e+02 8.671372392469451142e+02 1.252962995027346551e+02
1.172452555180993235e-02 8.831984523982595192e+02 8.839756947234261588e+02 8.839756853465274844e+02 1.259663350131994264e+02
1.186189258478982482e-02 9.000909744688984802e+02 9.009004291688801231e+02 9.009004193556086193e+02 1.266191069971339118e+02
1.199929896678736049e-02 9.170666303285048571e+02 9.179092621634542866e+02 9.179092518990061080e+02 1.272547228760926572e+02
1.213674427508212687e-02 9.341237395752177690e+02 9.350005130416236625e+02 9.350005023108797104e+02 1.278739630776166365e+02
1.227422812742749898e-02 9.512601094227820795e+02 9.521720125152804712e+02 9.521720013028140102e+02 1.284777458131954688e+02
1.241175018039559173e-02 9.684738150185609129e+02 9.694218493799933185e+02 9.694218376700598583e+02 1.290667799787338481e+02
1.254931012783999135e-02 9.857630131626891625e+02 9.867481870579483711e+02 9.867481748344845300e+02 1.296412807814299981e+02
1.268690769946803285e-02 1.003126047349115311e+03 1.004149373968789405e+03 1.004149361215413023e+03 1.302010412035205320e+02
1.282454265951503761e-02 1.020560742157026766e+03 1.021623258817200053e+03 1.021623245517212808e+03 1.307456377403054546e+02
1.296221480551357566e-02 1.038065137234786562e+03 1.039167900790788281e+03 1.039167886927161589e+03 1.312748819608606254e+02
1.309992396715133241e-02 1.055637627650463628e+03 1.056781706398076494e+03 1.056781691953461404e+03 1.317890240962750568e+02
1.323767000521174769e-02 1.073276296290638129e+03 1.074462777082265575e+03 1.074462762038984920e+03 1.322885828578266967e+02
1.337545281059200619e-02 1.090979279055177358e+03 1.092209268704056285e+03 1.092209253044102752e+03 1.327740743243512327e+02
1.351327230339342128e-02 1.108744878468518209e+03 1.110019503287398493e+03 1.110019486992433940e+03 1.332456524904772834e+02
1.365112843207961536e-02 1.126571285157220018e+03 1.127891676388504038e+03 1.127891659439866089e+03 1.337028785033366489e+02
1.378902117269832986e-02 1.144456484797393841e+03 1.145823798808676429e+03 1.145823781187359600e+03 1.341448478926396035e+02
1.392695052816290968e-02 1.162399036774568913e+03 1.163814436083562896e+03 1.163814417770230193e+03 1.345707442508083602e+02
1.406491652758996153e-02 1.180396957164552759e+03 1.181861623232266084e+03 1.181861604207247865e+03 1.349803184952272090e+02
