# l   cl_TT   cl_TE   cl_EE
1.110000000000000000e+02 3.794624825877758099e+02 -3.944989034738456191e+00 1.244184978446900430e-01
1.120000000000000000e+02 3.835983059964493123e+02 -4.025532121837701816e+00 1.259460527752312153e-01
1.130000000000000000e+02 3.877530595221535350e+02 -4.105194225562532218e+00 1.274277156243584785e-01
1.140000000000000000e+02 3.919254801493269724e+02 -4.183898723624674076e+00 1.288617731457594728e-01
1.150000000000000000e+02 3.961141541851794159e+02 -4.261568481916262918e+00 1.302465285286374397e-01
1.160000000000000000e+02 4.003177119576963605e+02 -4.338126822471982891e+00 1.315803503910011329e-01
1.170000000000000000e+02 4.045354481210533777e+02 -4.413500504405697633e+00 1.328618240042552523e-01
1.180000000000000000e+02 4.087667689004109661e+02 -4.487617156679854169e+00 1.340896207475259505e-01
1.190000000000000000e+02 4.130109971778429099e+02 -4.560404403338537804e+00 1.352624535157632979e-01
1.200000000000000000e+02 4.172673698760711432e+02 -4.631789898242000270e+00 1.363790783179578414e-01
1.210000000000000000e+02 4.215350353422001035e+02 -4.701701359801212732e+00 1.374382958753573303e-01
1.220000000000000000e+02 4.258130507314523356e+02 -4.770066605712401042e+00 1.384389532196833306e-01
1.230000000000000000e+02 4.301003793909015940e+02 -4.836813587691578320e+00 1.393799452913477566e-01
1.240000000000000000e+02 4.343958882432094128e+02 -4.901870426209095299e+00 1.402602165376696797e-01
1.250000000000000000e+02 4.386983451703579817e+02 -4.965165445224172025e+00 1.410787625110915822e-01
1.260000000000000000e+02 4.430064163973854079e+02 -5.026627206919435764e+00 1.418346314673961939e-01
1.270000000000000000e+02 4.473186638761213771e+02 -5.086184546435473131e+00 1.425269259639232455e-01
1.280000000000000000e+02 4.516335426689202563e+02 -5.143766606605357339e+00 1.431548044577858336e-01
1.290000000000000000e+02 4.559495522020746421e+02 -5.199303624915487809e+00 1.437175202593526657e-01
1.300000000000000000e+02 4.602657143431954978e+02 -5.252729318218404053e+00 1.442145398294731040e-01
1.310000000000000000e+02 4.645811430694481032e+02 -5.303978826484559761e+00 1.446454405403015953e-01
1.320000000000000000e+02 4.688948937987447039e+02 -5.352988023748929791e+00 1.450098763304870642e-01
1.330000000000000000e+02 4.732059618745145144e+02 -5.399693558228217505e+00 1.453075795706903761e-01
1.340000000000000000e+02 4.775132810504740064e+02 -5.444032892438036342e+00 1.455383629291013836e-01
1.350000000000000000e+02 4.818157219753958884e+02 -5.485944343310118931e+00 1.457021212369561669e-01
1.360000000000000000e+02 4.861120906778800190e+02 -5.525367122309509327e+00 1.457988333540544967e-01
1.370000000000000000e+02 4.904011270511226144e+02 -5.562241375551751688e+00 1.458285640342769085e-01
1.380000000000000000e+02 4.946815033376871611e+02 -5.596508223920106495e+00 1.457914657911020817e-01
1.390000000000000000e+02 4.989518226142726576e+02 -5.628109803182724136e+00 1.456877807631240251e-01
1.400000000000000000e+02 5.032106172764853227e+02 -5.656989304109851346e+00 1.455178425795693731e-01
1.410000000000000000e+02 5.074563475236072918e+02 -5.683091012591034108e+00 1.452820782258146814e-01
1.420000000000000000e+02 5.116873998433669612e+02 -5.706360349752305439e+00 1.449810099089035020e-01
1.430000000000000000e+02 5.159020854967093328e+02 -5.726743912073381182e+00 1.446152569230639562e-01
1.440000000000000000e+02 5.200987729648555842e+02 -5.744190003710248682e+00 1.441855384719438748e-01
1.450000000000000000e+02 5.242763032056438988e+02 -5.758650207918002195e+00 1.436926785105843984e-01
1.460000000000000000e+02 5.284336126461053027e+02 -5.770078047531435494e+00 1.431376049292859276e-01
1.470000000000000000e+02 5.325696021575215582e+02 -5.778428549236545031e+00 1.425213504942060838e-01
1.480000000000000000e+02 5.366831363100917542e+02 -5.783658286516499381e+00 1.418450547183751631e-01
1.490000000000000000e+02 5.407730426276020808e+02 -5.785725422597599810e+00 1.411099657327121171e-01
1.500000000000000000e+02 5.448381108420932151e+02 -5.784589753395240841e+00 1.403174421570399510e-01
1.510000000000000000e+02 5.488770921485288454e+02 -5.780212750459877036e+00 1.394689549711014831e-01
1.520000000000000000e+02 5.528886984594630576e+02 -5.772557603922988001e+00 1.385660893855749087e-01
1.530000000000000000e+02 5.568716016597095404e+02 -5.761589265443031849e+00 1.376105467130893933e-01
1.540000000000000000e+02 5.608244328610085176e+02 -5.747274491151417308e+00 1.366041462392410533e-01
1.550000000000000000e+02 5.647457816566961810e+02 -5.729581884598465180e+00 1.355488270936080764e-01
1.560000000000000000e+02 5.686341953763718493e+02 -5.708481939699366237e+00 1.344466501207667031e-01
1.570000000000000000e+02 5.724881783405661508e+02 -5.683947083680151557e+00 1.332997997513068189e-01
1.580000000000000000e+02 5.763061911154102290e+02 -5.655951720023650431e+00 1.321105858728474913e-01
1.590000000000000000e+02 5.800866497673023332e+02 -5.624472271415452695e+00 1.308814457010527843e-01
1.600000000000000000e+02 5.838279251175770241e+02 -5.589487222689879076e+00 1.296149456506472397e-01
1.610000000000000000e+02 5.875284553167161903e+02 -5.550976863937719052e+00 1.283137133882208125e-01
1.620000000000000000e+02 5.911870963192155841e+02 -5.508922404139968698e+00 1.269802233101568478e-01
1.630000000000000000e+02 5.948028011219865903e+02 -5.463306860861881553e+00 1.256169955814308570e-01
1.640000000000000000e+02 5.983745090101737105e+02 -5.414115394277200899e+00 1.242266657850597394e-01
1.650000000000000000e+02 6.019011453331929715e+02 -5.361335348734608708e+00 1.228119864718923149e-01
1.660000000000000000e+02 6.053816212807674901e+02 -5.304956294324171040e+00 1.213758287104003686e-01
1.670000000000000000e+02 6.088148336589658811e+02 -5.244970068443782552e+00 1.199211836364693085e-01
1.680000000000000000e+02 6.121996646662382773e+02 -5.181370817365607451e+00 1.184511640031891827e-01
1.690000000000000000e+02 6.155349816694537139e+02 -5.114155037802532888e+00 1.169690057306453923e-01
1.700000000000000000e+02 6.188196369799383092e+02 -5.043321618474607249e+00 1.154780694557095283e-01
1.710000000000000000e+02 6.220524676295106019e+02 -4.968871881675488211e+00 1.139818420818303479e-01
1.720000000000000000e+02 6.252322951465198457e+02 -4.890809624838887260e+00 1.124839383288245148e-01
1.730000000000000000e+02 6.283579253318829387e+02 -4.809141162105014189e+00 1.109881022826672975e-01
1.740000000000000000e+02 6.314281480351208984e+02 -4.723875365887023392e+00 1.094982089452836843e-01
1.750000000000000000e+02 6.344417369303969281e+02 -4.635023708437458367e+00 1.080182657843390959e-01
1.760000000000000000e+02 6.373974492925527784e+02 -4.542600303414695340e+00 1.065524142830300836e-01
1.770000000000000000e+02 6.402940257731460179e+02 -4.446621947449393097e+00 1.051049314898754583e-01
1.780000000000000000e+02 6.431301901764874174e+02 -4.347108161710931284e+00 1.036802315685068504e-01
1.790000000000000000e+02 6.459046492356771978e+02 -4.244081233473860237e+00 1.022828673474597133e-01
1.800000000000000000e+02 6.486161785848918271e+02 -4.137564571216172382e+00 1.009173522456574684e-01
1.810000000000000000e+02 6.512638887860537125e+02 -4.027577536872949615e+00 9.958760698267729583e-02
1.820000000000000000e+02 6.538469800672954761e+02 -3.914140281672577881e+00 9.829747176218239790e-02
1.830000000000000000e+02 6.563646581198282774e+02 -3.797275430793207285e+00 9.705088282584833914e-02
1.840000000000000000e+02 6.588161341914618561e+02 -3.677008118717538299e+00 9.585187334155446937e-02
1.850000000000000000e+02 6.612006251801213921e+02 -3.553366024587584882e+00 9.470457429157505547e-02
1.860000000000000000e+02 6.635173537273668671e+02 -3.426379407559456691e+00 9.361321536077030214e-02
1.870000000000000000e+02 6.657655483119123119e+02 -3.296081142158134636e+00 9.258212582477763630e-02
1.880000000000000000e+02 6.679444433431440302e+02 -3.162506753632248202e+00 9.161573543820300536e-02
1.890000000000000000e+02 6.700532792546389373e+02 -3.025694453308847454e+00 9.071857532281187020e-02
1.900000000000000000e+02 6.720913025976834660e+02 -2.885685173948183024e+00 8.989527885572051735e-02
1.910000000000000000e+02 6.740577661347929279e+02 -2.742522605098479893e+00 8.915058255758710748e-02
1.920000000000000000e+02 6.759519289332291692e+02 -2.596253228450712047e+00 8.848932698080302917e-02
1.930000000000000000e+02 6.777730564585195907e+02 -2.446926353193383807e+00 8.791645759768398904e-02
1.940000000000000000e+02 6.795204206679759409e+02 -2.294594151367298274e+00 8.743702568866112967e-02
1.950000000000000000e+02 6.811933001042133355e+02 -2.139311693220340427e+00 8.705618923047235558e-02
1.960000000000000000e+02 6.827909799886681412e+02 -1.981136982562247573e+00 8.677921378435336786e-02
1.970000000000000000e+02 6.843127523151173364e+02 -1.820130992119389335e+00 8.661147338422899022e-02
1.980000000000000000e+02 6.857579159431963944e+02 -1.656357698889540098e+00 8.655845142490423139e-02
1.990000000000000000e+02 6.871257766919193273e+02 -1.489884119496658554e+00 8.662574155025551392e-02
2.000000000000000000e+02 6.884156474331959998e+02 -1.320780345545660373e+00 8.681904854142190320e-02
2.010000000000000000e+02 6.896269020526560780e+02 -1.149115976338236811e+00 8.714388972316031157e-02
2.020000000000000000e+02 6.907591414330275938e+02 -9.749490595335190690e-01 8.760467356717897836e-02
2.030000000000000000e+02 6.918120395212862377e+02 -7.983364277681298526e-01 8.820555690866753451e-02
2.040000000000000000e+02 6.927852907781010572e+02 -6.193372548403253131e-01 8.895073851561857703e-02
2.050000000000000000e+02 6.936786104305590470e+02 -4.380130804171007419e-01 8.984445909189418822e-02
2.060000000000000000e+02 6.944917347248892838e+02 -2.544278347412975982e-01 9.089100128029291292e-02
2.070000000000000000e+02 6.952244211791883117e+02 -6.864786333871059076e-02 9.209468966561656922e-02
2.080000000000000000e+02 6.958764488361433678e+02 1.192580482748065163e-01 9.345989077773689258e-02
2.090000000000000000e+02 6.964476185157582222e+02 3.092186498862348754e-01 9.499101309466242982e-02
2.100000000000000000e+02 6.969377530680768587e+02 5.011602018782824741e-01 9.669250704560541920e-02
2.110000000000000000e+02 6.973466976259087460e+02 6.950064505222796063e-01 9.856886501404842071e-02
2.120000000000000000e+02 6.976743198575528595e+02 8.906786032710699574e-01 1.006246213408112239e-01
2.130000000000000000e+02 6.979205102195222707e+02 1.088095304051906798e+00 1.028643523271175475e-01
2.140000000000000000e+02 6.980851822092681687e+02 1.287172608559344678e+00 1.052926762376620029e-01
2.150000000000000000e+02 6.981682726179062684e+02 1.487823959548132624e+00 1.079142533036766827e-01
2.160000000000000000e+02 6.981697417829391270e+02 1.689960162126109333e+00 1.107337857259981656e-01
2.170000000000000000e+02 6.980895738409817568e+02 1.893489359047095588e+00 1.137560176781341192e-01
2.180000000000000000e+02 6.979277769804863283e+02 2.098317006003788787e+00 1.169857353093302077e-01
2.190000000000000000e+02 6.976843836944661916e+02 2.304345846920651475e+00 1.204277667476368746e-01
2.200000000000000000e+02 6.973594510332208074e+02 2.511475889246815196e+00 1.240869821029761400e-01
2.210000000000000000e+02 6.969530608570602226e+02 2.719604379248961923e+00 1.279682934702083552e-01
2.220000000000000000e+02 6.964653200890293192e+02 2.928625777304227462e+00 1.320766549321991112e-01
2.230000000000000000e+02 6.958963609676324040e+02 3.138431733193088213e+00 1.364170625628857991e-01
2.240000000000000000e+02 6.952463527214733858e+02 3.348917001212076805e+00 1.409941710092575129e-01
2.250000000000000000e+02 6.945155369035742297e+02 3.559997659198971487e+00 1.458111158439396038e-01
