# l   cl_TT   cl_TE   cl_EE
1.070000000000000000e+02 3.974192653208226602e+02 -3.450704362438282935e+00 1.037341443908667421e-01
1.080000000000000000e+02 4.018006643367382367e+02 -3.535056196611973789e+00 1.054855842279003586e-01
1.090000000000000000e+02 4.062022442875532420e+02 -3.619208718607435760e+00 1.072144943662193123e-01
1.100000000000000000e+02 4.106235070389692510e+02 -3.703099074285778336e+00 1.089193143730007723e-01
1.110000000000000000e+02 4.150638382600785690e+02 -3.786663701666413306e+00 1.105984779780059823e-01
1.120000000000000000e+02 4.195225033580150580e+02 -3.869838349513703424e+00 1.122504136980960882e-01
1.130000000000000000e+02 4.239986434126058725e+02 -3.952558095923600856e+00 1.138735454617481463e-01
1.140000000000000000e+02 4.284912711110234227e+02 -4.034757366910303844e+00 1.154662932335710351e-01
1.150000000000000000e+02 4.329992666824365415e+02 -4.116369954992889824e+00 1.170270736388214355e-01
1.160000000000000000e+02 4.375215466345842401e+02 -4.197329726454419152e+00 1.185543401144993070e-01
1.170000000000000000e+02 4.420576019289407554e+02 -4.277572800935207198e+00 1.200467075655445720e-01
1.180000000000000000e+02 4.466070179079513878e+02 -4.357035672973499807e+00 1.215028441077803945e-01
1.190000000000000000e+02 4.511693048379235051e+02 -4.435654571451604689e+00 1.229214338608445034e-01
1.200000000000000000e+02 4.557438953715470689e+02 -4.513365484271588457e+00 1.243011779221884217e-01
1.210000000000000000e+02 4.603301420104143631e+02 -4.590104183030986107e+00 1.256407953410769995e-01
1.220000000000000000e+02 4.649273145675404066e+02 -4.665806247698510489e+00 1.269390240925879210e-01
1.230000000000000000e+02 4.695345976298826258e+02 -4.740407091289745800e+00 1.281946220516108625e-01
1.240000000000000000e+02 4.741510880208612662e+02 -4.813841984542855279e+00 1.294063679668472355e-01
1.250000000000000000e+02 4.787757922628791789e+02 -4.886046080594293350e+00 1.305730624348092339e-01
1.260000000000000000e+02 4.834076240398417212e+02 -4.956954439654489342e+00 1.316935288738195209e-01
1.270000000000000000e+02 4.880454016596775659e+02 -5.026502053683580051e+00 1.327666144980106933e-01
1.280000000000000000e+02 4.926878455168578625e+02 -5.094623871067088139e+00 1.337911912913243850e-01
